source_row,source_pdf_url,source_reference_no,reference_no,form_type,company_name,security_symbol,transaction_date,transaction_type,transaction_channel,broker_name,biglot,section_2_2,section_2_3,submission_date,highest_price_90_days,highest_price_date,reporter_name,contact_person,report_purpose,section_8_1_stock_type,section_8_2_convertible_type,section_8_3_other_type,common_before_units,common_before_voting_rights,common_before_percent,common_transaction_units,common_transaction_voting_rights,common_transaction_percent,common_after_units,common_after_voting_rights,common_after_percent,preferred_before_units,preferred_before_voting_rights,preferred_before_percent,preferred_transaction_units,preferred_transaction_voting_rights,preferred_transaction_percent,preferred_after_units,preferred_after_voting_rights,preferred_after_percent,section_10,section_11,section_12,reference_match,extraction_status,error_message
1391,https://web-r246-api.sec.or.th/api/forms/pdf/publish/65ee79a8202bb6c1b1fcd5cd,246028702403-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,error,Chrome ดาวน์โหลด PDF ไม่สำเร็จภายใน 45 วินาที
1432,https://web-r246-api.sec.or.th/api/forms/pdf/publish/65cb37c5201b4a4cec90610a,246028202402-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,error,Chrome ดาวน์โหลด PDF ไม่สำเร็จภายใน 45 วินาที
