source_row,source_pdf_url,source_reference_no,reference_no,form_type,company_name,security_symbol,transaction_date,transaction_type,transaction_channel,broker_name,biglot,section_2_2,section_2_3,submission_date,highest_price_90_days,highest_price_date,reporter_name,contact_person,report_purpose,section_8_1_stock_type,section_8_2_convertible_type,section_8_3_other_type,common_before_units,common_before_voting_rights,common_before_percent,common_transaction_units,common_transaction_voting_rights,common_transaction_percent,common_after_units,common_after_voting_rights,common_after_percent,preferred_before_units,preferred_before_voting_rights,preferred_before_percent,preferred_transaction_units,preferred_transaction_voting_rights,preferred_transaction_percent,preferred_after_units,preferred_after_voting_rights,preferred_after_percent,section_10,section_11,section_12,reference_match,extraction_status,error_message
1432,https://web-r246-api.sec.or.th/api/forms/pdf/publish/65cb37c5201b4a4cec90610a,246028202402-1,246028202402-1,246-2,name BCPG PUBLIC COMPANY LIMITED,BCPG,,,,,,,,13/02/2024,8.45,15/01/2024,,,,,,,106504000,106504000,3.5551,51550000,51550000,1.7207,158054000,158054000,5.2759,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
1634,https://web-r246-api.sec.or.th/api/forms/pdf/publish/64d4b8a38525c831a281c159,246025752308-1,246025752308-1,246-2,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),BCP,09/08/2566,,,บริษัท หลักทรัพย์ธนชาต จำกัด (มหาชน),,,,15/08/2566,,,สำนักงานประกันสังคม,นางสาว อิงกมล ปิกติ๊บ,,,,การระบุข้อมูลในข้อ 9 ข้อ 10 หรือข้อ 11 ให้ขึ้นกับลักษณะการกระทำที่เป็นผลให้มีหน้าที่รายงาน,207067997,207067997,15.0384,2890300,2890300,0.2099,204177697,204177697,14.8285,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
1648,https://web-r246-api.sec.or.th/api/forms/pdf/publish/64cb1e1d5e18c20912246cbb,246025602308-1,246025602308-1,246-2,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),BCP,02/08/2566,,,บริษัท หลักทรัพย์เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน),,,,07/08/2566,39.259,02/08/2566,สำนักงานประกันสังคม,นาย ธราดล ธรณธรรม,,,,การระบุข้อมูลในข้อ 9 ข้อ 10 หรือข้อ 11 ให้ขึ้นกับลักษณะการกระทำที่เป็นผลให้มีหน้าที่รายงาน,206141097,206141097,14.9711,540500,540500,0.0392,206681597,206681597,15.0103,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
1661,https://web-r246-api.sec.or.th/api/forms/pdf/publish/64be31be940ba45d093f3de0,246025482307-1,246025482307-1,246-2,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),BCP,21/07/2566,,,บริษัท หลักทรัพย์ยูโอบี เคย์เฮียน (ประเทศไทย) จำกัด (มหาชน),,,,26/07/2566,,,สำนักงานประกันสังคม,นางสาว อิงกมล ปิกติ๊บ,,,,การระบุข้อมูลในข้อ 9 ข้อ 10 หรือข้อ 11 ให้ขึ้นกับลักษณะการกระทำที่เป็นผลให้มีหน้าที่รายงาน,207215597,207215597,15.0491,1074500,1074500,0.078,206141097,206141097,14.9711,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
1684,https://web-r246-api.sec.or.th/api/forms/pdf/publish/64acdd6bb838a32ffd2f1917,246025322307-1,246025322307-1,246-2,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),BCP,10/07/2566,,,บริษัท หลักทรัพย์บัวหลวง จำกัด (มหาชน),,,,13/07/2566,37.1639,10/07/2566,สำนักงานประกันสังคม,นาย ธราดล ธรณธรรม,,,,การระบุข้อมูลในข้อ 9 ข้อ 10 หรือข้อ 11 ให้ขึ้นกับลักษณะการกระทำที่เป็นผลให้มีหน้าที่รายงาน,206349797,206349797,14.9862,1470000,1470000,0.1067,207819797,207819797,15.093,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
1688,https://web-r246-api.sec.or.th/api/forms/pdf/publish/64abb1447a233a90f44211e0,246025212307-1,246025212307-1,246-2,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),BCP,07/07/2566,,,บริษัท หลักทรัพย์ธนชาต จำกัด (มหาชน),,,,12/07/2566,,,สำนักงานประกันสังคม,นาย ธราดล ธรณธรรม,,,,การระบุข้อมูลในข้อ 9 ข้อ 10 หรือข้อ 11 ให้ขึ้นกับลักษณะการกระทำที่เป็นผลให้มีหน้าที่รายงาน,206608197,206608197,15.005,258400,258400,0.0187,206349797,206349797,14.9862,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
1698,https://web-r246-api.sec.or.th/api/forms/pdf/publish/64a7700e71514b76f23c9a7e,246025172307-1,246025172307-1,246-2,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),BCP,05/07/2566,,,บริษัท หลักทรัพย์ อินโนเวสท์ เอกซ์ จำกัด,,,,10/07/2566,36.6587,05/07/2566,สำนักงานประกันสังคม,นาย ธราดล ธรณธรรม,,,,การระบุข้อมูลในข้อ 9 ข้อ 10 หรือข้อ 11 ให้ขึ้นกับลักษณะการกระทำที่เป็นผลให้มีหน้าที่รายงาน,205706297,205706297,14.9395,901900,901900,0.0655,206608197,206608197,15.005,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
2388,https://web-r246-api.sec.or.th/api/forms/pdf/publish/62679cb5af3c9728d44a361a,246018082204-1,246018082204-1,246-2,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),BCP,25/04/2565,,,บริษัท หลักทรัพย์ซี แอล เอส เอ (ประเทศไทย) จำกัด,,,,26/04/2565,,,บริษัท หลักทรัพย์จัดการกองทุนรวมบัวหลวง จำกัด,นางสาว อภิชญา จันทร์แจ่ม,,,,การระบุข้อมูลในข้อ 9 ข้อ 10 หรือข้อ 11 ให้ขึ้นกับลักษณะการกระทำที่เป็นผลให้มีหน้าที่รายงาน,68859900,68859900,5.0718,1000000,1000000,0.0736,67859900,67859900,4.9982,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
2539,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6904332eb323fc4e0242621b,246039152510-1,246039152510-1,246-2,BCPG PUBLIC COMPANY LIMITED,BCPG,02/02/2022,Disposition,Through the Stock Exchange of Thailand via a securities company,FINANSIA SYRUS SECURITIES PUBLIC COMPANY LIMITED,,,,31/10/2025,,,CAPITAL ASIA INVESTMENTS PTE LTD,CAPITAL ASIA INVESTMENTS PTE. LTD.,to file a report in accordance with Section 246,"Common shares, Preferred shares",,,146464929,146464929,5.0608,7000000,7000000,0.2418,139464929,139464929,4.8189,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
2741,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6188eecc26ed7e2628da4e15,246014432111-1,246014432111-1,246-2,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),BCP,05/11/2564,,,บริษัท หลักทรัพย์ โนมูระ พัฒนสิน จำกัด (มหาชน),,,,10/11/2564,,,สำนักงานประกันสังคม,นาย ปวิธ ตั้งเจริญ,,,,การระบุข้อมูลในข้อ 9 ข้อ 10 หรือข้อ 11 ให้ขึ้นกับลักษณะการกระทำที่เป็นผลให้มีหน้าที่รายงาน,204184197,204184197,15.0391,1564500,1564500,0.1152,202619697,202619697,14.9239,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
2751,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6927f5eb794d88d1dd8c6ef5,246039492511-1,246039492511-1,246-2,BCPG PUBLIC COMPANY LIMITED,BCPG,29/10/2021,Disposition,Through the Stock Exchange of Thailand via a securities company,FINANSIA SYRUS SECURITIES PUBLIC COMPANY LIMITED,,,,27/11/2025,,,"PILGRIM PARTNERS ASIA (PTE), LTD.",Mr. Chan Kheng Guan Nicholas,to file a report in accordance with Section 246,"Common shares, Preferred shares",,,146812500,146812500,5.0729,7000000,7000000,0.2418,139812500,139812500,4.831,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
2752,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68ed92c0ca48fca8a042bcb9,246038952510-1,246038952510-1,246-2,BCPG PUBLIC COMPANY LIMITED,BCPG,29/10/2021,Disposition,Through the Stock Exchange of Thailand via a securities company,FINANSIA SYRUS SECURITIES PUBLIC COMPANY LIMITED,,,,14/10/2025,,,Mr. Khan Khengguannicholas,Chan,to file a report in accordance with Section 246,"Common shares, Preferred shares",,,146812500,146812500,5.0729,7000000,7000000,0.2418,139812500,139812500,4.831,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
2792,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6167d768e69a5617d49cc542,246013932110-1,246013932110-1,246-2,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),BCP,12/10/2564,,,บริษัท หลักทรัพย์ทิสโก้ จำกัด,,,,18/10/2564,28.826,12/10/2564,สำนักงานประกันสังคม,นาย ปวิธ ตั้งเจริญ,,,,การระบุข้อมูลในข้อ 9 ข้อ 10 หรือข้อ 11 ให้ขึ้นกับลักษณะการกระทำที่เป็นผลให้มีหน้าที่รายงาน,203434297,203434297,14.9839,749900,749900,0.0552,204184197,204184197,15.0391,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
3108,https://web-r246-api.sec.or.th/api/forms/pdf/publish/60936c922058552e6c4b2f36,246010432105-1,246010432105-1,246-2,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),BCP,05/05/2564,,,บริษัท หลักทรัพย์ กสิกรไทย จำกัด (มหาชน),,,,07/05/2564,,,สำนักงานประกันสังคม,นาย ปวิธ ตั้งเจริญ,,,,การระบุข้อมูลในข้อ 9 ข้อ 10 หรือข้อ 11 ให้ขึ้นกับลักษณะการกระทำที่เป็นผลให้มีหน้าที่รายงาน,204192797,204192797,15.0397,1089100,1089100,0.0802,203103697,203103697,14.9595,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
